I've tried spacing it neatly, it looks fine on the edit but when I publish the change it comes out looking like... well this...
Apologies.

Most Mods Herein use the MIT or GNU Licenses, Forge Licensing, an alternative or use a custom license which request appropriate Credit and Links back to the home or curse page.

Please Contact Dan deLion#1608 or Hellstrom#8665 on Discord with any issues you encounter before engaging any Mod Dev,
it's more than likely our fault anyway.
Also please be aware the modpack team does not support anything other than Windows 10 systems with more than or equal to 7GB of RAM, This Modpack is not confirmed stable below this spec.

Please See Below the List of Mods/Library's and their respective credit and links:

###Mod###                     ###Developed by/Owned By###   ###Link###
MicdoodleCore                 Micdoodle8                     https://micdoodle8.com/mods/galacticraft/downloads
MineTweaker RecipeMaker       Dries007                       https://www.curseforge.com/minecraft/mc-mods/minetweaker-recipemaker
Modtweaker                    Jaredlll08                     https://www.curseforge.com/minecraft/mc-mods/modtweaker
Morpheus                      Quetzi                         https://minecraft.curseforge.com/projects/morpheus
MrCrayfish's Furniture Mod    MrCrayfish                     https://www.curseforge.com/minecraft/mc-mods/mrcrayfish-furniture-mod
MTLib                         Jaredlll08                     https://www.curseforge.com/minecraft/mc-mods/mtlib
MysticalLib                   EpicSquid319                   https://www.curseforge.com/minecraft/mc-mods/mysticallib
MysticalWorld                 EpicSquid319                   https://www.curseforge.com/minecraft/mc-mods/mystical-world
Netherending Ores             ic_trab                        https://www.curseforge.com/minecraft/mc-mods/netherending-ores
Nuclearcraft                  tomdodd4598                    https://minecraft.curseforge.com/projects/nuclearcraft-mod
OpenBlocks                    OpenMods                       https://minecraft.curseforge.com/projects/openblocks
OpenModsLib                   OpenMods                       https://minecraft.curseforge.com/projects/openmodslib    
p455w0rdsLib                  TheRealp455w0rd                https://www.curseforge.com/minecraft/mc-mods/p455w0rds-library
Patchouli                     Vazkii                         https://minecraft.curseforge.com/projects/patchouli
PlusTiC                       Landmaster_phuong0429          https://minecraft.curseforge.com/projects/plustic
ProjectIntelligence           brandon3055                    https://www.curseforge.com/minecraft/mc-mods/project-intelligence
Railcraft                     Railcraft Team                 http://railcraft.info/wiki/, railcraft.info, http://railcraft.info/wiki/info:license
RandomTweaks                  TheRandomLabs                  https://www.curseforge.com/minecraft/mc-mods/randomtweaks
RedstoneFlux                  Team CoFH                      http://teamcofh.com/permissions/
Roots                         EpicSquid319                   https://www.curseforge.com/minecraft/mc-mods/roots
TeslaCoreLib                  Face_of_Cat                    https://minecraft.curseforge.com/projects/tesla-core-lib
Thermal Mod-Series            Team CoFH                      http://teamcofh.com/permissions/
